ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT
1265	NdandaLek	to fall	nə̀ tɔ̀psə́	nə̀_tɔ̀psə́	n ə̀/ə + t ɔ̀/ɔ p s ə́/ə		1934 1935	n ə̀/ə + t ɔ̀/ɔ p s ə́/ə
1266	NdandaNgwa	to fall	bvɨʃi	bvɨʃi	bv ɨ ʃ i		1936	- bv ɨ ʃ i
1267	NdandaTwefap	to fall	mbɨk ʃǐ	mbɨk_ʃǐ	ⁿb ɨ k + ʃ ǐ/i		1937 1936	ⁿb ɨ k + - - - ʃ ǐ/i
1268	NdandaDenfap	to fall	tǎp ʃí	tǎp_ʃí	t ǎ/a p + ʃ í/i		1935 1936	t ǎ/a p - - + - - - ʃ í/i
1269	NdandaZua	to fall	ndì tə́psə́	ndì_tə́psə́	ⁿd ì/i + t ə́/ə p s ə́/ə		1938 1935	ⁿd ì/i + t ə́/ə p s ə́/ə
1270	Goshimjang	to fall	nì tɔ́psə́	nì_tɔ́psə́	n ì/i + t ɔ́/ɔ p s ə́/ə		1934 1935	n ì/i + t ɔ́/ɔ p s ə́/ə
1051	NdandaNyep	to fear	mbɔ̌	mbɔ̌	ⁿb ɔ̌/ɔ		1953	ⁿb ɔ̌/ɔ - -
1052	NdandaShingou	to fear	mbɔ̌	mbɔ̌	ⁿb ɔ̌/ɔ		1953	ⁿb ɔ̌/ɔ - -
1053	NdandaCaa	to fear	mbɔ̌	mbɔ̌	ⁿb ɔ̌/ɔ		1953	ⁿb ɔ̌/ɔ - -
1054	NdandaMeno	to fear	mbɔ̌hɔ̌	mbɔ̌hɔ̌	ⁿb ɔ̌/ɔ h ɔ̌/ɔ		1953	ⁿb ɔ̌/ɔ h ɔ̌/ɔ
1055	NdandaLek	to fear	nə̀ bɔ́h	nə̀_bɔ́h	n ə̀/ə + b ɔ́/ɔ h		1952 1953	n ə̀/ə + b ɔ́/ɔ h -
1056	NdandaNgwa	to fear	pú ɔ̌	pú_ɔ̌	p ú/u + ɔ̌/ɔ		1953 1954	p ú/u - - + ɔ̌/ɔ
1057	NdandaTwefap	to fear	bwɔ̌	bwɔ̌	bʷ ɔ̌/ɔ		1953	bʷ ɔ̌/ɔ - -
1058	NdandaDenfap	to fear	púwɔ̌	púwɔ̌	p ú/u w ɔ̌/ɔ		1953	p ú/u w ɔ̌/ɔ
1059	NdandaZua	to fear	ndì bɔ́h	ndì_bɔ́h	ⁿd ì/i + b ɔ́/ɔ h		1955 1953	ⁿd ì/i + b ɔ́/ɔ h -
1060	Goshimjang	to fear	nì bɔ́h	nì_bɔ́h	n ì/i + b ɔ́/ɔ h		1952 1953	n ì/i + b ɔ́/ɔ h -
1100	Goshimjang	to fight	nì ʒwí	nì_ʒwí	n ì/i + ʒʷ í/i		1967 1968	n ì/i - + ʒʷ í/i - -
1101	NdandaNyep	to fight	nzɔ̌kwɛ̌	nzɔ̌kwɛ̌	ⁿz ɔ̌/ɔ kʷ ɛ̌/ɛ		1968	ⁿz ɔ̌/ɔ kʷ ɛ̌/ɛ
1102	NdandaShingou	to fight	zǎp nǔ	zǎp_nǔ	z ǎ/a p + n ǔ/u		1968 1967	z ǎ/a p - + n ǔ/u -
1103	NdandaCaa	to fight	zǎp ɲíá	zǎp_ɲíá	z ǎ/a p + ɲ í/i á/a		1968 1967	z ǎ/a p - + ɲ í/i á/a
1104	NdandaMeno	to fight	nzɔ̌	nzɔ̌	ⁿz ɔ̌/ɔ		1968	ⁿz ɔ̌/ɔ - -
1105	NdandaLek	to fight	nə̀ zɔ́ŋkwɛ̀	nə̀_zɔ́ŋkwɛ̀	n ə̀/ə + z ɔ́/ɔ ⁿk w ɛ̀/ɛ		1967 1970	n ə̀/ə - + - z ɔ́/ɔ ⁿk w ɛ̀/ɛ
1106	NdandaNgwa	to fight	nzɛ́ ŋkwè	nzɛ́_ŋkwè	ⁿz ɛ́/ɛ + ⁿk w è/e		1968 1970	ⁿz ɛ́/ɛ - - + - - - ⁿk w è/e
1107	NdandaTwefap	to fight	tʃǔ ŋkwè	tʃǔ_ŋkwè	tʃ ǔ/u + ⁿk w è/e		1969 1970	tʃ ǔ/u + - - - ⁿk w è/e
1108	NdandaDenfap	to fight	tʃǔ ŋkwè	tʃǔ_ŋkwè	tʃ ǔ/u + ⁿk w è/e		1969 1970	tʃ ǔ/u + - - - ⁿk w è/e
1109	NdandaZua	to fight	ndì dzɔ́ŋkwɛ̀	ndì_dzɔ́ŋkwɛ̀	ⁿd ì/i + d z ɔ́/ɔ ⁿk w ɛ̀/ɛ		1969 1970	ⁿd ì/i + d z ɔ́/ɔ ⁿk w ɛ̀/ɛ
1110	Goshimjang	to fight	nì zɔ́ŋkwɛ̀	nì_zɔ́ŋkwɛ̀	n ì/i + z ɔ́/ɔ ⁿk w ɛ̀/ɛ		1967 1970	n ì/i - + - z ɔ́/ɔ ⁿk w ɛ̀/ɛ
1421	NdandaNyep	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1422	NdandaShingou	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1423	NdandaCaa	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1424	NdandaMeno	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1425	NdandaLek	to float	nə̀ pásə̀	nə̀_pásə̀	n ə̀/ə + p á/a s ə̀/ə		1988 1989	n ə̀/ə + p á/a s ə̀/ə
1426	NdandaNgwa	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1427	NdandaTwefap	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1428	NdandaDenfap	to float	pǎ sé	pǎ_sé	p ǎ/a + s é/e		1989 1990	p ǎ/a - - + s é/e
1429	NdandaZua	to float	ndì básə̀	ndì_básə̀	ⁿd ì/i + b á/a s ə̀/ə		1991 1989	ⁿd ì/i + b á/a s ə̀/ə
1430	Goshimjang	to float	nì básè	nì_básè	n ì/i + b á/a s è/e		1988 1989	n ì/i + b á/a s è/e
1431	NdandaNyep	to flow	fîʔ	fîʔ	f î/i ʔ		2010	f î/i ʔ
1432	NdandaShingou	to flow	fî	fî	f î/i		2010	f î/i -
1433	NdandaCaa	to flow	ntɨ̌p	ntɨ̌p	ⁿt ɨ̌/ɨ p		2011	ⁿt ɨ̌/ɨ p
1434	NdandaMeno	to flow	fî	fî	f î/i		2010	f î/i -
1435	NdandaLek	to flow	nə̀ fî	nə̀_fî	n ə̀/ə + f î/i		2009 2010	n ə̀/ə + f î/i -
1436	NdandaNgwa	to flow	ntɨ̌p	ntɨ̌p	ⁿt ɨ̌/ɨ p		2011	ⁿt ɨ̌/ɨ p
1437	NdandaTwefap	to flow	fî	fî	f î/i		2010	f î/i -
1438	NdandaDenfap	to flow	fî	fî	f î/i		2010	f î/i -
1439	NdandaZua	to flow	ndì fé	ndì_fé	ⁿd ì/i + f é/e		2011 2010	ⁿd ì/i - + f é/e -
1440	Goshimjang	to flow	nì fé	nì_fé	n ì/i + f é/e		2009 2010	n ì/i + f é/e -
1191	NdandaNyep	to fly	fɛ̌	fɛ̌	f ɛ̌/ɛ		2023	f - ɛ̌/ɛ
1192	NdandaShingou	to fly	fɛ̌	fɛ̌	f ɛ̌/ɛ		2023	f - ɛ̌/ɛ
1193	NdandaCaa	to fly	fɛ̌	fɛ̌	f ɛ̌/ɛ		2023	f - ɛ̌/ɛ
1194	NdandaMeno	to fly	nfɛ̌	nfɛ̌	n f ɛ̌/ɛ		2023	n f ɛ̌/ɛ
1195	NdandaLek	to fly	nə̀ ʒɔ̀	nə̀_ʒɔ̀	n ə̀/ə + ʒ ɔ̀/ɔ		2023 2024	n - ə̀/ə + ʒ - - ɔ̀/ɔ
