ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT
1230	Goshimjang	to lie	nì nɔ́ŋɔ́sé	nì_nɔ́ŋɔ́sé	n ì/i + n ɔ́/ɔ ŋ ɔ́/ɔ s é/e		2147 2148	n ì/i + n ɔ́/ɔ ŋ ɔ́/ɔ s é/e
1071	NdandaNyep	to live	tʃɨ̌je	tʃɨ̌je	tʃ ɨ̌/ɨ j e		2162	tʃ ɨ̌/ɨ j e
1072	NdandaShingou	to live	sé	sé	s é/e		2162	- - s é/e
1073	NdandaCaa	to live	sɨ́ hǎ	sɨ́_hǎ	s ɨ́/ɨ + h ǎ/a		2162 2163	- - s ɨ́/ɨ + h ǎ/a
1074	NdandaMeno	to live	ntsɨ̌	ntsɨ̌	ⁿt s ɨ̌/ɨ		2162	ⁿt - s ɨ̌/ɨ
1075	NdandaLek	to live	nə̀ zò	nə̀_zò	n ə̀/ə + z ò/o		2161 2162	n ə̀/ə + - - z ò/o
1076	NdandaNgwa	to live	tʃɛ̂	tʃɛ̂	tʃ ɛ̂/ɛ		2162	tʃ ɛ̂/ɛ - -
1077	NdandaTwefap	to live	ntʃě	ntʃě	ⁿt ʃ ě/e		2162	ⁿt - ʃ ě/e
1078	NdandaDenfap	to live	tʃɛ̂	tʃɛ̂	tʃ ɛ̂/ɛ		2162	tʃ ɛ̂/ɛ - -
1079	NdandaZua	to live	ndì zùh	ndì_zùh	ⁿd ì/i + z ù/u h		2162 2164	ⁿd ì/i - - + z ù/u h
1080	Goshimjang	to live	nì zùh	nì_zùh	n ì/i + z ù/u h		2161 2162	n ì/i + z ù/u h -
1021	NdandaNyep	to nkow	ʒɛ̌	ʒɛ̌	ʒ ɛ̌/ɛ		2178	ʒ ɛ̌/ɛ
1022	NdandaShingou	to nkow	nzɨ̌	nzɨ̌	ⁿz ɨ̌/ɨ		2178	ⁿz ɨ̌/ɨ
1023	NdandaCaa	to nkow	nzɨ̌	nzɨ̌	ⁿz ɨ̌/ɨ		2178	ⁿz ɨ̌/ɨ
1024	NdandaMeno	to nkow	zɨ̌	zɨ̌	z ɨ̌/ɨ		2178	z ɨ̌/ɨ
1025	NdandaLek	to nkow	nə̀ zə́	nə̀_zə́	n ə̀/ə + z ə́/ə		2176 2178	n ə̀/ə + z ə́/ə
1026	NdandaNgwa	to nkow	ʒɛ̌	ʒɛ̌	ʒ ɛ̌/ɛ		2178	ʒ ɛ̌/ɛ
1027	NdandaTwefap	to nkow	ʒɛ̌	ʒɛ̌	ʒ ɛ̌/ɛ		2178	ʒ ɛ̌/ɛ
1028	NdandaDenfap	to nkow	ʒɛ̌	ʒɛ̌	ʒ ɛ̌/ɛ		2178	ʒ ɛ̌/ɛ
1029	NdandaZua	to nkow	ndì lɛ̀ŋ	ndì_lɛ̀ŋ	ⁿd ì/i + l ɛ̀/ɛ ŋ		2179 2177	ⁿd ì/i + l ɛ̀/ɛ ŋ
1030	Goshimjang	to nkow	nì lɛ̀ŋ	nì_lɛ̀ŋ	n ì/i + l ɛ̀/ɛ ŋ		2176 2177	n ì/i + l ɛ̀/ɛ ŋ
1411	NdandaNyep	to play	ŋgɨ́ ŋgíjɛ̂	ŋgɨ́_ŋgíjɛ̂	ⁿg ɨ́/ɨ + ⁿg í/i j ɛ̂/ɛ		2193 2195	ⁿg - ɨ́/ɨ + ⁿg í/i j ɛ̂/ɛ
1412	NdandaShingou	to play	ŋgɨ́ ŋgxɛ̂	ŋgɨ́_ŋgxɛ̂	ⁿg ɨ́/ɨ + ⁿg x ɛ̂/ɛ		2193 2191	ⁿg - ɨ́/ɨ + ⁿg x ɛ̂/ɛ
1413	NdandaCaa	to play	ŋgǎ ŋgxɨ̌	ŋgǎ_ŋgxɨ̌	ⁿg ǎ/a + ⁿg x ɨ̌/ɨ		2193 2191	ⁿg - ǎ/a + ⁿg x ɨ̌/ɨ
1414	NdandaMeno	to play	ŋgɨ́ ŋgrǎ	ŋgɨ́_ŋgrǎ	ⁿg ɨ́/ɨ + ⁿg r ǎ/a		2193 2191	ⁿg - ɨ́/ɨ + ⁿg r ǎ/a
1415	NdandaLek	to play	nə̀ ŋgxə́ ŋgxá	nə̀_ŋgxə́_ŋgxá	n ə̀/ə + ⁿg x ə́/ə + ⁿg x á/a		2190 2191 2193	n ə̀/ə + ⁿg x ə́/ə + ⁿg x á/a
1416	NdandaNgwa	to play	tǎp	tǎp	t ǎ/a p		2194	t ǎ/a p
1417	NdandaTwefap	to play	ŋgɨ̌ ŋgxɨ̌	ŋgɨ̌_ŋgxɨ̌	ⁿg ɨ̌/ɨ + ⁿg x ɨ̌/ɨ		2193 2191	ⁿg - ɨ̌/ɨ + ⁿg x ɨ̌/ɨ
1418	NdandaDenfap	to play	ŋgɨ̌ ŋgxɨ̌	ŋgɨ̌_ŋgxɨ̌	ⁿg ɨ̌/ɨ + ⁿg x ɨ̌/ɨ		2193 2191	ⁿg - ɨ̌/ɨ + ⁿg x ɨ̌/ɨ
1419	NdandaZua	to play	ndì ŋgxə́ ŋgxá	ndì_ŋgxə́_ŋgxá	ⁿd ì/i + ⁿg x ə́/ə + ⁿg x á/a		2194 2191 2193	ⁿd ì/i - + ⁿg x ə́/ə + ⁿg x á/a
1420	Goshimjang	to play	nì ŋgxə́ ʃɔ̀	nì_ŋgxə́_ʃɔ̀	n ì/i + ⁿg x ə́/ə + ʃ ɔ̀/ɔ		2190 2191 2192	n ì/i + ⁿg x ə́/ə + ʃ ɔ̀/ɔ
1331	NdandaNyep	to pull	fɨ̀k	fɨ̀k	f ɨ̀/ɨ k		2214	f ɨ̀/ɨ k
1332	NdandaShingou	to pull	fɨ̀k	fɨ̀k	f ɨ̀/ɨ k		2214	f ɨ̀/ɨ k
1333	NdandaCaa	to pull	fɨ̀k	fɨ̀k	f ɨ̀/ɨ k		2214	f ɨ̀/ɨ k
1334	NdandaMeno	to pull	fɨ̀k	fɨ̀k	f ɨ̀/ɨ k		2214	f ɨ̀/ɨ k
1335	NdandaLek	to pull	nə̀ fə́ŋ	nə̀_fə́ŋ	n ə̀/ə + f ə́/ə ŋ		2213 2214	n ə̀/ə + f ə́/ə ŋ
1336	NdandaNgwa	to pull	fɨ̀k	fɨ̀k	f ɨ̀/ɨ k		2214	f ɨ̀/ɨ k
1337	NdandaTwefap	to pull	fɔ̌k	fɔ̌k	f ɔ̌/ɔ k		2214	f ɔ̌/ɔ k
1338	NdandaDenfap	to pull	fɨ̀k	fɨ̀k	f ɨ̀/ɨ k		2214	f ɨ̀/ɨ k
1339	NdandaZua	to pull	ndì fə́ŋ	ndì_fə́ŋ	ⁿd ì/i + f ə́/ə ŋ		2215 2214	ⁿd ì/i + f ə́/ə ŋ
1340	Goshimjang	to pull	nì fə́ŋ	nì_fə́ŋ	n ì/i + f ə́/ə ŋ		2213 2214	n ì/i + f ə́/ə ŋ
1341	NdandaNyep	to push	ntʃɛ̂	ntʃɛ̂	ⁿt ʃ ɛ̂/ɛ		2228	ⁿt ʃ ɛ̂/ɛ -
1342	NdandaShingou	to push	ntǐʔ	ntǐʔ	ⁿt ǐ/i ʔ		2228	ⁿt - ǐ/i ʔ
1343	NdandaCaa	to push	ntʃɨ̌	ntʃɨ̌	ⁿt ʃ ɨ̌/ɨ		2228	ⁿt ʃ ɨ̌/ɨ -
1344	NdandaMeno	to push	tʃɨ̌	tʃɨ̌	tʃ ɨ̌/ɨ		2228	tʃ - ɨ̌/ɨ -
1345	NdandaLek	to push	nə̀ ntʃú	nə̀_ntʃú	n ə̀/ə + ⁿt ʃ ú/u		2227 2228	n ə̀/ə + ⁿt ʃ ú/u -
1346	NdandaNgwa	to push	tʃé	tʃé	tʃ é/e		2228	tʃ - é/e -
1347	NdandaTwefap	to push	ntsé	ntsé	ⁿt s é/e		2228	ⁿt s é/e -
1348	NdandaDenfap	to push	tʃɨ̌	tʃɨ̌	tʃ ɨ̌/ɨ		2228	tʃ - ɨ̌/ɨ -
1349	NdandaZua	to push	ndì ntʃú	ndì_ntʃú	ⁿd ì/i + ⁿt ʃ ú/u		2229 2228	ⁿd ì/i + ⁿt ʃ ú/u -
1350	Goshimjang	to push	nì ntʃú	nì_ntʃú	n ì/i + ⁿt ʃ ú/u		2227 2228	n ì/i + ⁿt ʃ ú/u -
1301	NdandaNyep	to rub	sɛ̌p	sɛ̌p	s ɛ̌/ɛ p		2243	s ɛ̌/ɛ p
1302	NdandaShingou	to rub	kwɔ̌p	kwɔ̌p	kʷ ɔ̌/ɔ p		2243	kʷ ɔ̌/ɔ p
1303	NdandaCaa	to rub	sɨ̌ʔ	sɨ̌ʔ	s ɨ̌/ɨ ʔ		2242	s ɨ̌/ɨ ʔ - -
1304	NdandaMeno	to rub	tʃɛ̌p	tʃɛ̌p	tʃ ɛ̌/ɛ p		2243	tʃ ɛ̌/ɛ p
1305	NdandaLek	to rub	nè sʉ́ʔsə́	nè_sʉ́ʔsə́	n è/e + s ʉ́/ʉ ʔ s ə́/ə		2241 2242	n è/e + s ʉ́/ʉ ʔ s ə́/ə
1306	NdandaNgwa	to rub	sǎp	sǎp	s ǎ/a p		2243	s ǎ/a p
1307	NdandaTwefap	to rub	sǎktsé	sǎktsé	s ǎ/a k ts é/e		2242	s ǎ/a k ts é/e
1308	NdandaDenfap	to rub	sǎp	sǎp	s ǎ/a p		2243	s ǎ/a p
1309	NdandaZua	to rub	ndì séhé	ndì_séhé	ⁿd ì/i + s é/e h é/e		2243 2242	ⁿd ì/i - + s é/e h - é/e
1310	Goshimjang	to rub	nì zíʔsə̀	nì_zíʔsə̀	n ì/i + z í/i ʔ s ə̀/ə		2241 2242	n ì/i + z í/i ʔ s ə̀/ə
1391	NdandaNyep	to say	ŋgɔ̌	ŋgɔ̌	ⁿg ɔ̌/ɔ		2257	ⁿg ɔ̌/ɔ -
1392	NdandaShingou	to say	ŋgɔ̌	ŋgɔ̌	ⁿg ɔ̌/ɔ		2257	ⁿg ɔ̌/ɔ -
1393	NdandaCaa	to say	ŋgɔ̌	ŋgɔ̌	ⁿg ɔ̌/ɔ		2257	ⁿg ɔ̌/ɔ -
1394	NdandaMeno	to say	ŋgɔ̌	ŋgɔ̌	ⁿg ɔ̌/ɔ		2257	ⁿg ɔ̌/ɔ -
1395	NdandaLek	to say	nə̀ hɔ̀	nə̀_hɔ̀	n ə̀/ə + h ɔ̀/ɔ		2255 2256	n ə̀/ə + h ɔ̀/ɔ
1396	NdandaNgwa	to say	wɔ̌p	wɔ̌p	w ɔ̌/ɔ p		2257	w ɔ̌/ɔ p
1397	NdandaTwefap	to say	ŋgǔp	ŋgǔp	ⁿg ǔ/u p		2257	ⁿg ǔ/u p
1398	NdandaDenfap	to say	ɣôp	ɣôp	ɣ ô/o p		2257	ɣ ô/o p
1399	NdandaZua	to say	ndì hɔ̀	ndì_hɔ̀	ⁿd ì/i + h ɔ̀/ɔ		2258 2256	ⁿd ì/i + h ɔ̀/ɔ
1400	Goshimjang	to say	nì hɔ̀	nì_hɔ̀	n ì/i + h ɔ̀/ɔ		2255 2256	n ì/i + h ɔ̀/ɔ
1160	Goshimjang	to scratch	nì sə̀b	nì_sə̀b	n ì/i + s ə̀/ə b		2269 2270	n ì/i + s - ə̀/ə b - -
1161	NdandaNyep	to scratch	kpwɔ̌p	kpwɔ̌p	k pʷ ɔ̌/ɔ p		2270	k pʷ ɔ̌/ɔ p - -
1162	NdandaShingou	to scratch	kpwɔ̌p	kpwɔ̌p	k pʷ ɔ̌/ɔ p		2270	k pʷ ɔ̌/ɔ p - -
1163	NdandaCaa	to scratch	kpwɔ̌p	kpwɔ̌p	k pʷ ɔ̌/ɔ p		2270	k pʷ ɔ̌/ɔ p - -
1164	NdandaMeno	to scratch	kpwɔ̌p	kpwɔ̌p	k pʷ ɔ̌/ɔ p		2270	k pʷ ɔ̌/ɔ p - -
1165	NdandaLek	to scratch	nə̀ kɔ́ŋɔ́	nə̀_kɔ́ŋɔ́	n ə̀/ə + k ɔ́/ɔ ŋ ɔ́/ɔ		2269 2271	n ə̀/ə + k ɔ́/ɔ ŋ ɔ́/ɔ
1166	NdandaNgwa	to scratch	kǔp	kǔp	k ǔ/u p		2270	k - ǔ/u p - -
1167	NdandaTwefap	to scratch	kǔp	kǔp	k ǔ/u p		2270	k - ǔ/u p - -
1168	NdandaDenfap	to scratch	kǔp	kǔp	k ǔ/u p		2270	k - ǔ/u p - -
1169	NdandaZua	to scratch	nə̀ ŋkwɔ́bsə́	nə̀_ŋkwɔ́bsə́	n ə̀/ə + ⁿk w ɔ́/ɔ b s ə́/ə		2269 2270	n ə̀/ə + ⁿk w ɔ́/ɔ b s ə́/ə
1170	Goshimjang	to scratch	nì jùh	nì_jùh	n ì/i + j ù/u h		2269 2272	n ì/i + j ù/u h
1001	NdandaNyep	to see	ndʒɨ̌	ndʒɨ̌	ⁿdʒ ɨ̌/ɨ		2287	ⁿdʒ ɨ̌/ɨ
1002	NdandaShingou	to see	ndʒɨ̌	ndʒɨ̌	ⁿdʒ ɨ̌/ɨ		2287	ⁿdʒ ɨ̌/ɨ
1003	NdandaCaa	to see	ndʒɨ̌	ndʒɨ̌	ⁿdʒ ɨ̌/ɨ		2287	ⁿdʒ ɨ̌/ɨ
1004	NdandaMeno	to see	jɛ̌	jɛ̌	j ɛ̌/ɛ		2288	j ɛ̌/ɛ
1005	NdandaLek	to see	nə̀ jí	nə̀_jí	n ə̀/ə + j í/i		2285 2288	n ə̀/ə + j í/i
1006	NdandaNgwa	to see	jɔ̌	jɔ̌	j ɔ̌/ɔ		2288	j ɔ̌/ɔ
1007	NdandaTwefap	to see	ndʒɔ̌	ndʒɔ̌	ⁿdʒ ɔ̌/ɔ		2287	ⁿdʒ ɔ̌/ɔ
1008	NdandaDenfap	to see	ndʒɔ̌	ndʒɔ̌	ⁿdʒ ɔ̌/ɔ		2287	ⁿdʒ ɔ̌/ɔ
1009	NdandaZua	to see	ndì lɔ́ŋsə́	ndì_lɔ́ŋsə́	ⁿd ì/i + l ɔ́/ɔ ŋ s ə́/ə		2287 2286	ⁿd ì/i + l ɔ́/ɔ ŋ s ə́/ə
1010	Goshimjang	to see	nì lɔ́ŋsə́	nì_lɔ́ŋsə́	n ì/i + l ɔ́/ɔ ŋ s ə́/ə		2285 2286	n ì/i + l ɔ́/ɔ ŋ s ə́/ə
1371	NdandaNyep	to sew	tɛ̌p	tɛ̌p	t ɛ̌/ɛ p		2300	t ɛ̌/ɛ p
1372	NdandaShingou	to sew	tɛ̌p	tɛ̌p	t ɛ̌/ɛ p		2300	t ɛ̌/ɛ p
1373	NdandaCaa	to sew	tɛ̌p	tɛ̌p	t ɛ̌/ɛ p		2300	t ɛ̌/ɛ p
1374	NdandaMeno	to sew	tɛ̌p	tɛ̌p	t ɛ̌/ɛ p		2300	t ɛ̌/ɛ p
1375	NdandaLek	to sew	nè tə́p	nè_tə́p	n è/e + t ə́/ə p		2299 2300	n è/e + t ə́/ə p
1376	NdandaNgwa	to sew	tǎp	tǎp	t ǎ/a p		2300	t ǎ/a p
1377	NdandaTwefap	to sew	ntǎp	ntǎp	ⁿt ǎ/a p		2300	ⁿt ǎ/a p
1378	NdandaDenfap	to sew	tǎp	tǎp	t ǎ/a p		2300	t ǎ/a p
1379	NdandaZua	to sew	ndì ntə́b	ndì_ntə́b	ⁿd ì/i + ⁿt ə́/ə b		2301 2300	ⁿd ì/i + ⁿt ə́/ə b
1380	Goshimjang	to sew	nì tɔ́b	nì_tɔ́b	n ì/i + t ɔ́/ɔ b		2299 2300	n ì/i + t ɔ́/ɔ b
1401	NdandaNyep	to sing	dʒwɔ̌p	dʒwɔ̌p	dʒʷ ɔ̌/ɔ p		2314	dʒʷ ɔ̌/ɔ p - -
1402	NdandaShingou	to sing	dʒɔ̌p	dʒɔ̌p	dʒ ɔ̌/ɔ p		2314	dʒ ɔ̌/ɔ p - -
1403	NdandaCaa	to sing	dʒɔ̌p ʃwî	dʒɔ̌p_ʃwî	dʒ ɔ̌/ɔ p + ʃʷ î/i		2314 2315	dʒ ɔ̌/ɔ p - - + ʃʷ î/i
1404	NdandaMeno	to sing	dʒɔ̌p	dʒɔ̌p	dʒ ɔ̌/ɔ p		2314	dʒ ɔ̌/ɔ p - -
1405	NdandaLek	to sing	nə̀ jɔ̀bʃì	nə̀_jɔ̀bʃì	n ə̀/ə + j ɔ̀/ɔ b ʃ ì/i		2313 2314	n ə̀/ə + j ɔ̀/ɔ b ʃ ì/i
1406	NdandaNgwa	to sing	jǔp	jǔp	j ǔ/u p		2314	j ǔ/u p - -
1407	NdandaTwefap	to sing	ndʒǔp	ndʒǔp	ⁿdʒ ǔ/u p		2314	ⁿdʒ ǔ/u p - -
1408	NdandaDenfap	to sing	dʒwɔ̌p	dʒwɔ̌p	dʒʷ ɔ̌/ɔ p		2314	dʒʷ ɔ̌/ɔ p - -
1409	NdandaZua	to sing	ndì ndʒɛ́p	ndì_ndʒɛ́p	ⁿd ì/i + ⁿdʒ ɛ́/ɛ p		2316 2314	ⁿd ì/i + ⁿdʒ ɛ́/ɛ p - -
1410	Goshimjang	to sing	nì jɔ̀bʃì	nì_jɔ̀bʃì	n ì/i + j ɔ̀/ɔ b ʃ ì/i		2313 2314	n ì/i + j ɔ̀/ɔ b ʃ ì/i
1231	NdandaNyep	to sit	tʃǐɛ	tʃǐɛ	tʃ ǐ/i ɛ		2329	tʃ ǐ/i - ɛ
1232	NdandaShingou	to sit	sɨ́sí	sɨ́sí	s ɨ́/ɨ s í/i		2329	s ɨ́/ɨ s í/i
1233	NdandaCaa	to sit	sǐ ʃî	sǐ_ʃî	s ǐ/i + ʃ î/i		2329 2330	s ǐ/i - - + ʃ î/i
1234	NdandaMeno	to sit	tsé	tsé	ts é/e		2329	ts é/e - -
1235	NdandaLek	to sit	nə̀ sɨ́sə́	nə̀_sɨ́sə́	n ə̀/ə + s ɨ́/ɨ s ə́/ə		2328 2329	n ə̀/ə + s ɨ́/ɨ s ə́/ə
1236	NdandaNgwa	to sit	tʃɛ́ʃí	tʃɛ́ʃí	tʃ ɛ́/ɛ ʃ í/i		2329	tʃ ɛ́/ɛ ʃ í/i
1237	NdandaTwefap	to sit	tʃíʃí	tʃíʃí	tʃ í/i ʃ í/i		2329	tʃ í/i ʃ í/i
1238	NdandaDenfap	to sit	tʃíʃí	tʃíʃí	tʃ í/i ʃ í/i		2329	tʃ í/i ʃ í/i
1239	NdandaZua	to sit	ndì tsɨ́sə́	ndì_tsɨ́sə́	ⁿd ì/i + ts ɨ́/ɨ s ə́/ə		2331 2329	ⁿd ì/i + ts ɨ́/ɨ s ə́/ə
1240	Goshimjang	to sit	nì sɨ́sə́	nì_sɨ́sə́	n ì/i + s ɨ́/ɨ s ə́/ə		2328 2329	n ì/i + s ɨ́/ɨ s ə́/ə
1061	NdandaNyep	to sleep	ndǐ	ndǐ	ⁿd ǐ/i		2344	ⁿd - ǐ/i
1062	NdandaShingou	to sleep	ndǐ	ndǐ	ⁿd ǐ/i		2344	ⁿd - ǐ/i
1063	NdandaCaa	to sleep	ndǐ	ndǐ	ⁿd ǐ/i		2344	ⁿd - ǐ/i
1064	NdandaMeno	to sleep	ndǐ	ndǐ	ⁿd ǐ/i		2344	ⁿd - ǐ/i
1065	NdandaLek	to sleep	nì dzí	nì_dzí	n ì/i + d z í/i		2343 2344	n ì/i + d z í/i
1066	NdandaNgwa	to sleep	zǐ	zǐ	z ǐ/i		2344	- z ǐ/i
1067	NdandaTwefap	to sleep	ndǐ	ndǐ	ⁿd ǐ/i		2344	ⁿd - ǐ/i
1068	NdandaDenfap	to sleep	tsî	tsî	ts î/i		2344	- ts î/i
1069	NdandaZua	to sleep	ndì ndí	ndì_ndí	ⁿd ì/i + ⁿd í/i		2344 2345	ⁿd - ì/i + ⁿd í/i
1070	Goshimjang	to sleep	nì ndí	nì_ndí	n ì/i + ⁿd í/i		2343 2344	n ì/i + ⁿd - í/i
1041	NdandaNyep	to smell	ndɛ̌p	ndɛ̌p	ⁿd ɛ̌/ɛ p		2363	ⁿd ɛ̌/ɛ p -
1042	NdandaShingou	to smell	ndɛ̌p	ndɛ̌p	ⁿd ɛ̌/ɛ p		2363	ⁿd ɛ̌/ɛ p -
1043	NdandaCaa	to smell	nʒǔ sɛ̌	nʒǔ_sɛ̌	ⁿʒ ǔ/u + s ɛ̌/ɛ		2359 2360	ⁿʒ ǔ/u + s ɛ̌/ɛ
1044	NdandaMeno	to smell	sɛ̂	sɛ̂	s ɛ̂/ɛ		2360	s ɛ̂/ɛ
1045	NdandaLek	to smell	nə̀ lɛ̀psə̀	nə̀_lɛ̀psə̀	n ə̀/ə + l ɛ̀/ɛ p s ə̀/ə		2357 2362	n ə̀/ə + l ɛ̀/ɛ p s ə̀/ə
1046	NdandaNgwa	to smell	ndǎp	ndǎp	ⁿd ǎ/a p		2363	ⁿd ǎ/a p -
1047	NdandaTwefap	to smell	ndǎbǎ	ndǎbǎ	ⁿd ǎ/a b ǎ/a		2363	ⁿd ǎ/a b ǎ/a
1048	NdandaDenfap	to smell	jǔ ʒwí	jǔ_ʒwí	j ǔ/u + ʒʷ í/i		2361 2360	j ǔ/u + ʒʷ í/i
1049	NdandaZua	to smell	ndì ndə̀p	ndì_ndə̀p	ⁿd ì/i + ⁿd ə̀/ə p		2364 2363	ⁿd ì/i + ⁿd ə̀/ə p -
1050	Goshimjang	to smell	nì júʔkə̀bɔ̀ŋ	nì_júʔkə̀bɔ̀ŋ	n ì/i + j ú/u ʔ k ə̀/ə b ɔ̀/ɔ ŋ		2357 2358	n ì/i + j ú/u ʔ k ə̀/ə b ɔ̀/ɔ ŋ
951	NdandaNyep	to spit	ntɛ̂m tí	ntɛ̂m_tí	ⁿt ɛ̂/ɛ m + t í/i		2375 2374	ⁿt ɛ̂/ɛ m - + t í/i
952	NdandaShingou	to spit	ntí tí	ntí_tí	ⁿt í/i + t í/i		2374 2375	ⁿt í/i + t í/i - -
953	NdandaCaa	to spit	ntɨ̌ tijɨ́	ntɨ̌_tijɨ́	ⁿt ɨ̌/ɨ + t i j ɨ́/ɨ		2374 2375	ⁿt ɨ̌/ɨ + t i j ɨ́/ɨ
954	NdandaMeno	to spit	ntí tí	ntí_tí	ⁿt í/i + t í/i		2374 2375	ⁿt í/i + t í/i - -
955	NdandaLek	to spit	nə̀ tʃì	nə̀_tʃì	n ə̀/ə + tʃ ì/i		2373 2374	n ə̀/ə + tʃ ì/i
956	NdandaNgwa	to spit	tǒ	tǒ	t ǒ/o		2374	t ǒ/o
957	NdandaTwefap	to spit	tǒ	tǒ	t ǒ/o		2374	t ǒ/o
958	NdandaDenfap	to spit	tǒ	tǒ	t ǒ/o		2374	t ǒ/o
959	NdandaZua	to spit	ndì tʃì	ndì_tʃì	ⁿd ì/i + tʃ ì/i		2374 2375	ⁿd ì/i + tʃ ì/i - -
960	Goshimjang	to spit	nì tʃì	nì_tʃì	n ì/i + tʃ ì/i		2373 2374	n ì/i + tʃ ì/i
1141	NdandaNyep	to split	mbǎ	mbǎ	ⁿb ǎ/a		2393	ⁿb ǎ/a - -
1142	NdandaShingou	to split	mbǎ	mbǎ	ⁿb ǎ/a		2393	ⁿb ǎ/a - -
1143	NdandaCaa	to split	pǎʔa	pǎʔa	p ǎ/a ʔ a		2393	p ǎ/a ʔ a
1144	NdandaMeno	to split	mbǎ	mbǎ	ⁿb ǎ/a		2393	ⁿb ǎ/a - -
1145	NdandaLek	to split	nə̀ tàhsə̀	nə̀_tàhsə̀	n ə̀/ə + t à/a h s ə̀/ə		2391 2392	n ə̀/ə + t à/a h s ə̀/ə
1146	NdandaNgwa	to split	ì paʔ	ì_paʔ	ì/i + p a ʔ		2394 2393	ì/i + p a ʔ -
1147	NdandaTwefap	to split	mbɛ̌	mbɛ̌	ⁿb ɛ̌/ɛ		2393	ⁿb ɛ̌/ɛ - -
1148	NdandaDenfap	to split	pɛ̂	pɛ̂	p ɛ̂/ɛ		2393	p ɛ̂/ɛ - -
1149	NdandaZua	to split	ndì tàhsə̀	ndì_tàhsə̀	ⁿd ì/i + t à/a h s ə̀/ə		2395 2392	ⁿd ì/i + t à/a h s ə̀/ə
1150	Goshimjang	to split	nì tàhsə̀	nì_tàhsə̀	n ì/i + t à/a h s ə̀/ə		2391 2392	n ì/i + t à/a h s ə̀/ə
1291	NdandaNyep	to squeeze	nɔ̂ʔ	nɔ̂ʔ	n ɔ̂/ɔ ʔ		2406	n ɔ̂/ɔ ʔ -
1292	NdandaShingou	to squeeze	nɔ̂ʔ	nɔ̂ʔ	n ɔ̂/ɔ ʔ		2406	n ɔ̂/ɔ ʔ -
1293	NdandaCaa	to squeeze	nɔ̂ʔ	nɔ̂ʔ	n ɔ̂/ɔ ʔ		2406	n ɔ̂/ɔ ʔ -
1294	NdandaMeno	to squeeze	nɔ̂ʔ	nɔ̂ʔ	n ɔ̂/ɔ ʔ		2406	n ɔ̂/ɔ ʔ -
1295	NdandaLek	to squeeze	nə̀ sú	nə̀_sú	n ə̀/ə + s ú/u		2406 2408	n ə̀/ə - - + s ú/u
1296	NdandaNgwa	to squeeze	ní	ní	n í/i		2406	n í/i - -
1297	NdandaTwefap	to squeeze	nɔ̌tsé	nɔ̌tsé	n ɔ̌/ɔ ts é/e		2406	n ɔ̌/ɔ ts é/e
1298	NdandaDenfap	to squeeze	núwɔ̂	núwɔ̂	n ú/u w ɔ̂/ɔ		2406	n ú/u w ɔ̂/ɔ
1299	NdandaZua	to squeeze	ndì nséʔ	ndì_nséʔ	ⁿd ì/i + ⁿs é/e ʔ		2409 2406	ⁿd ì/i + ⁿs é/e ʔ -
1300	Goshimjang	to squeeze	nì mɔ́	nì_mɔ́	n ì/i + m ɔ́/ɔ		2406 2407	n ì/i - - + m ɔ́/ɔ
1151	NdandaNyep	to stab	sɔ̌p	sɔ̌p	s ɔ̌/ɔ p		2420	s ɔ̌/ɔ p
1152	NdandaShingou	to stab	sɔ̌p	sɔ̌p	s ɔ̌/ɔ p		2420	s ɔ̌/ɔ p
1153	NdandaCaa	to stab	sɔ̌p	sɔ̌p	s ɔ̌/ɔ p		2420	s ɔ̌/ɔ p
1154	NdandaMeno	to stab	sɔ̌p	sɔ̌p	s ɔ̌/ɔ p		2420	s ɔ̌/ɔ p
1155	NdandaLek	to stab	nə̀ sɛ̀p	nə̀_sɛ̀p	n ə̀/ə + s ɛ̀/ɛ p		2421 2420	n ə̀/ə + s ɛ̀/ɛ p
1156	NdandaNgwa	to stab	sǔp	sǔp	s ǔ/u p		2420	s ǔ/u p
1157	NdandaTwefap	to stab	sǔp	sǔp	s ǔ/u p		2420	s ǔ/u p
1158	NdandaDenfap	to stab	sǔp	sǔp	s ǔ/u p		2420	s ǔ/u p
1159	NdandaZua	to stab	ndì sə̀b	ndì_sə̀b	ⁿd ì/i + s ə̀/ə b		2422 2420	ⁿd ì/i + s ə̀/ə b
1241	NdandaNyep	to stand	ntsǐ tíjɨ́	ntsǐ_tíjɨ́	ⁿt s ǐ/i + t í/i j ɨ́/ɨ		2433 2436	ⁿt - s ǐ/i + - - t í/i j ɨ́/ɨ
1242	NdandaShingou	to stand	sítíjɨ́	sítíjɨ́	s í/i t í/i j ɨ́/ɨ		2436	s í/i t í/i j ɨ́/ɨ
1243	NdandaCaa	to stand	sǐ tɨ̌	sǐ_tɨ̌	s ǐ/i + t ɨ̌/ɨ		2434 2435	s ǐ/i + t ɨ̌/ɨ
1244	NdandaMeno	to stand	ndúhú tɨ́	ndúhú_tɨ́	ⁿd ú/u h ú/u + t ɨ́/ɨ		2433 2434	ⁿd ú/u h ú/u + t ɨ́/ɨ
