ID	DOCULECT	VALUE	CONCEPT	POS
775	Ndanda_Lek	ndʒɛ́p 	Tongue 	NA
776	Ndanda_Ngwa	dɨ̌p	Tongue 	NA
777	Ndanda_Twefap	lǐp	Tongue 	NA
778	Ndanda_Denfap	lǐp	Tongue 	NA
779	Ndanda_Zua	lèlí	Tongue 	NA
780	Goshimjang	lìlɛ́ 	Tongue 	NA
781	Ndanda_Nyep	ŋkábá 	Finger nail 	NA
782	Ndanda_Shingou	ŋkábá pú	Finger nail 	NA
783	Ndanda_Ca-a	ŋkábá 	Finger nail 	NA
784	Ndanda_Meno	ŋkábá 	Finger nail 	NA
785	Ndanda_Lek	kàbàtʃwípú 	Finger nail 	NA
786	Ndanda_Ngwa	ŋkɨ́bé 	Finger nail 	NA
787	Ndanda_Twefap	ŋkǐp 	Finger nail 	NA
788	Ndanda_Denfap	ŋkǐp 	Finger nail 	NA
789	Ndanda_Zua	kàbàtʃwíbú 	Finger nail 	NA
790	Goshimjang	kàbàtʃwíbú 	Finger nail 	NA
791	Ndanda_Nyep	zízɔ̌	Foot 	NA
792	Ndanda_Shingou	zízɔ̌	Foot 	NA
793	Ndanda_Ca-a	zízɔ̌	Foot 	NA
794	Ndanda_Meno	zízwɔ̌	Foot 	NA
795	Ndanda_Lek	zízɔ̌	Foot 	NA
796	Ndanda_Ngwa	zízɨ̌	Foot 	NA
797	Ndanda_Twefap	ʒɨ̌tǐk	Foot 	NA
798	Ndanda_Denfap	ʒwɨ̌tɨ́ 	Foot 	NA
799	Ndanda_Zua	ʒwízɔ̌	Foot 	NA
800	Goshimjang	ʒwízɔ̌	Foot 	NA
801	Ndanda_Nyep	ŋkxé	Leg 	NA
802	Ndanda_Shingou	ŋkxé mú	Leg 	NA
803	Ndanda_Ca-a	ŋkxé mú	Leg 	NA
804	Ndanda_Meno	ŋkxé	Leg 	NA
805	Ndanda_Lek	kxə̀	Leg 	NA
806	Ndanda_Ngwa	ŋkxé	Leg 	NA
807	Ndanda_Twefap	ŋkxé	Leg 	NA
808	Ndanda_Denfap	ŋkxwɔ̂ 	Leg 	NA
809	Ndanda_Zua	kxə̀	Leg 	NA
810	Goshimjang	kxə̀ 	Leg 	NA
811	Ndanda_Nyep	zûk	Knee 	NA
812	Ndanda_Shingou	zúk 	Knee 	NA
813	Ndanda_Ca-a	túzǔk	Knee 	NA
814	Ndanda_Meno	zúk 	Knee 	NA
815	Ndanda_Lek	zùk 	Knee 	NA
816	Ndanda_Ngwa	tútû	Knee 	NA
817	Ndanda_Twefap	tétû	Knee 	NA
818	Ndanda_Denfap	tétû	Knee 	NA
819	Ndanda_Zua	zúŋ	Knee 	NA
820	Goshimjang	zúŋ	Knee 	NA
821	Ndanda_Nyep	pú 	Hand 	NA
822	Ndanda_Shingou	mbú mú 	Hand 	NA
823	Ndanda_Ca-a	mbǔ	Hand 	NA
824	Ndanda_Meno	mbǔ	Hand 	NA
825	Ndanda_Lek	pú 	Hand 	NA
826	Ndanda_Ngwa	mbǔ	Hand 	NA
827	Ndanda_Twefap	pǔ	Hand 	NA
828	Ndanda_Denfap	pǔ	Hand 	NA
829	Ndanda_Zua	bú	Hand 	NA
830	Goshimjang	bú 	Hand 	NA
831	Ndanda_Nyep	mbâbà 	Wing 	NA
832	Ndanda_Shingou	mbâbà 	Wing 	NA
833	Ndanda_Ca-a	mbâbà 	Wing 	NA
834	Ndanda_Meno	mbâbà 	Wing 	NA
835	Ndanda_Lek	mbàbə̀ 	Wing 	NA
836	Ndanda_Ngwa	pɛ̌	Wing 	NA
837	Ndanda_Twefap	mbɛ̌	Wing 	NA
838	Ndanda_Denfap	mbɛ̌	Wing 	NA
839	Ndanda_Zua	mbàbə̀ 	Wing 	NA
840	Goshimjang	mbàbə̀ 	Wing 	NA
841	Ndanda_Nyep	ɱvɔ̌p 	Belly 	NA
842	Ndanda_Shingou	ɱvɔ̌p zú	Belly 	NA
843	Ndanda_Ca-a	ɱvɔ̌p zí	Belly 	NA
844	Ndanda_Meno	vɔ̌p	Belly 	NA
845	Ndanda_Lek	vòp	Belly 	NA
846	Ndanda_Ngwa	bvǎp	Belly 	NA
847	Ndanda_Twefap	bvǎp	Belly 	NA
848	Ndanda_Denfap	bvǎp	Belly 	NA
849	Ndanda_Zua	vòp	Belly 	NA
850	Goshimjang	vɔ̀p	Belly 	NA
851	Ndanda_Nyep	tʃǎ	Guts 	NA
852	Ndanda_Shingou	zú vɔ̌p	Guts 	NA
853	Ndanda_Ca-a	tʃǎ	Guts 	NA
854	Ndanda_Meno	tʃǎ	Guts 	NA
855	Ndanda_Lek	ntú	Guts 	NA
856	Ndanda_Ngwa	tʃǎ	Guts 	NA
857	Ndanda_Twefap	ntʃǔ	Guts 	NA
858	Ndanda_Denfap	ntʃǔ	Guts 	NA
859	Ndanda_Zua	ntú	Guts 	NA
860	Goshimjang	ntú 	Guts 	NA
861	Ndanda_Nyep	ntɔ̌k	Neck 	NA
862	Ndanda_Shingou	ntɔ́gú	Neck 	NA
863	Ndanda_Ca-a	ntɔ́gú í 	Neck 	NA
864	Ndanda_Meno	ntɔ̌k	Neck 	NA
865	Ndanda_Lek	ntɔ́k 	Neck 	NA
866	Ndanda_Ngwa	ntɔ́k 	Neck 	NA
867	Ndanda_Twefap	ntɔ́k 	Neck 	NA
868	Ndanda_Denfap	ntɔ́k 	Neck 	NA
869	Ndanda_Zua	ntɔ́ŋ 	Neck 	NA
870	Goshimjang	ntɔ́ŋ 	Neck 	NA
871	Ndanda_Nyep	ŋkpə̀ 	Back 	NA
872	Ndanda_Shingou	ŋkpə̀ 	Back 	NA
873	Ndanda_Ca-a	ŋkpə̀ 	Back 	NA
874	Ndanda_Meno	ŋkpə̀ 	Back 	NA
875	Ndanda_Lek	ŋkpə̀ 	Back 	NA
876	Ndanda_Ngwa	ŋkpə̀ 	Back 	NA
877	Ndanda_Twefap	ŋkpə̀ 	Back 	NA
878	Ndanda_Denfap	ŋkpə̀ 	Back 	NA
879	Ndanda_Zua	ŋkpə̀ 	Back 	NA
880	Goshimjang	ŋkpə̀ 	Back 	NA
881	Ndanda_Nyep	pǐ	Breast 	NA
882	Ndanda_Shingou	mbǐ	Breast 	NA
883	Ndanda_Ca-a	pǐ	Breast 	NA
884	Ndanda_Meno	pǐ	Breast 	NA
885	Ndanda_Lek	mbə́h 	Breast 	NA
886	Ndanda_Ngwa	pǐ	Breast 	NA
887	Ndanda_Twefap	mbɨ̌k 	Breast 	NA
888	Ndanda_Denfap	mbǐ	Breast 	NA
889	Ndanda_Zua	mbʉ́h	Breast 	NA
890	Goshimjang	mbə́h 	Breast 	NA
891	Ndanda_Nyep	ntíɛ́p 	Heart 	NA
892	Ndanda_Shingou	ntíɛ́p 	Heart 	NA
893	Ndanda_Ca-a	ntíjǎ	Heart 	NA
894	Ndanda_Meno	tɨ́p	Heart 	NA
895	Ndanda_Lek	ntsí 	Heart 	NA
896	Ndanda_Ngwa	tɨ̌p	Heart 	NA
897	Ndanda_Twefap	tɨ̌p	Heart 	NA
898	Ndanda_Denfap	tɨ̌p	Heart 	NA
899	Ndanda_Zua	ntsí 	Heart 	NA
900	Goshimjang	ntsí 	Heart 	NA
901	Ndanda_Nyep	mbímí 	Liver 	NA
902	Ndanda_Shingou	mbímǔ	Liver 	NA
903	Ndanda_Ca-a	tʃɛ̌p zú 	Liver 	NA
904	Ndanda_Meno	mbí 	Liver 	NA
905	Ndanda_Lek	mbímí 	Liver 	NA
906	Ndanda_Ngwa	mbîmí 	Liver 	NA
907	Ndanda_Twefap	mbîmí	Liver 	NA
908	Ndanda_Denfap	bví 	Liver 	NA
909	Ndanda_Zua	ntsí 	Liver 	NA
910	Goshimjang	ntsí 	Liver 	NA
911	Ndanda_Nyep	nǔ 	to drink 	NA
912	Ndanda_Shingou	nǔ 	to drink 	NA
913	Ndanda_Ca-a	nǔ 	to drink 	NA
914	Ndanda_Meno	nǔ 	to drink 	NA
915	Ndanda_Lek	nə̀ nú 	to drink 	NA
916	Ndanda_Ngwa	nǔ 	to drink 	NA
917	Ndanda_Twefap	nǔ 	to drink 	NA
918	Ndanda_Denfap	nǔ 	to drink 	NA
919	Ndanda_Zua	ndì ɲú	to drink 	NA
920	Goshimjang	nì ɲú 	to drink 	NA
921	Ndanda_Nyep	kpwɛ̌	to eat 	NA
922	Ndanda_Shingou	kpwɛ̌	to eat 	NA
923	Ndanda_Ca-a	kpwɛ̌	to eat 	NA
924	Ndanda_Meno	kpwɛ̌	to eat 	NA
925	Ndanda_Lek	nə̀ ŋkpɛ́ 	to eat 	NA
926	Ndanda_Ngwa	kpwé 	to eat 	NA
927	Ndanda_Twefap	kpwé 	to eat 	NA
928	Ndanda_Denfap	kpwé 	to eat 	NA
929	Ndanda_Zua	ndì nkpɛ́ 	to eat 	NA
930	Goshimjang	nì nkpɛ́ 	to eat 	NA
931	Ndanda_Nyep	ndɨ̌p 	to bite 	NA
932	Ndanda_Shingou	nděp 	to bite	NA
933	Ndanda_Ca-a	nděp bî	to bite	NA
934	Ndanda_Meno	lɨ̌p 	to bite	NA
935	Ndanda_Lek	nə̀ tʃúh 	to bite	NA
936	Ndanda_Ngwa	lěp	to bite	NA
937	Ndanda_Twefap	dɨ̌p 	to bite	NA
938	Ndanda_Denfap	lěp	to bite	NA
939	Ndanda_Zua	ndì tʃúh 	to bite	NA
940	Goshimjang	nì tʃúh 	to bite	NA
941	Ndanda_Nyep	nǔ 	to suck 	NA
942	Ndanda_Shingou	fíjɛ̌p sé 	to suck	NA
943	Ndanda_Ca-a	nǔ sé 	to suck	NA
944	Ndanda_Meno	fúwɔ̌p sé 	to suck	NA
945	Ndanda_Lek	nə̀ ʃjɛ́ 	to suck	NA
946	Ndanda_Ngwa	núwɔ̌k 	to suck	NA
947	Ndanda_Twefap	núwɔ̌k 	to suck	NA
948	Ndanda_Denfap	fíjɛ̌ tsé 	to suck	NA
949	Ndanda_Zua	ndì sísə̀ 	to suck	NA
950	Goshimjang	nì ɲɔ́ 	to suck	NA
951	Ndanda_Nyep	ntɛ̂m tí 	to spit 	NA
952	Ndanda_Shingou	ntí tí 	to spit 	NA
953	Ndanda_Ca-a	ntɨ̌ tijɨ́	to spit 	NA
954	Ndanda_Meno	ntí tí 	to spit 	NA
955	Ndanda_Lek	nə̀ tʃì 	to spit 	NA
956	Ndanda_Ngwa	tǒ	to spit 	NA
957	Ndanda_Twefap	tǒ	to spit 	NA
958	Ndanda_Denfap	tǒ	to spit 	NA
959	Ndanda_Zua	ndì tʃì 	to spit 	NA
960	Goshimjang	nì tʃì 	to spit 	NA
961	Ndanda_Nyep	ndǐʔí	to vomit 	NA
962	Ndanda_Shingou	dǐéʔ	to vomit 	NA
963	Ndanda_Ca-a	nděʔé	to vomit 	NA
964	Ndanda_Meno	lɨ̌ʔɨ́ 	to vomit 	NA
965	Ndanda_Lek	nə̀ lə́ʔə́ 	to vomit 	NA
966	Ndanda_Ngwa	lɨ̌ʔɨ́ 	to vomit 	NA
967	Ndanda_Twefap	ndɔ̌ʔɔ́	to vomit 	NA
968	Ndanda_Denfap	lɨ̌ʔɨ́ 	to vomit 	NA
969	Ndanda_Zua	ndì lʉ́ʔʉ́ 	to vomit 	NA
970	Goshimjang	nì lə́ʔə́ 	to vomit 	NA
971	Ndanda_Nyep	fɛ̌sé 	to blow 	NA
972	Ndanda_Shingou	fɛ́ mú 	to blow 	NA
973	Ndanda_Ca-a	fɛ̌sé 	to blow 	NA
974	Ndanda_Meno	fɛ̌sé 	to blow 	NA
975	Ndanda_Lek	nə̀ fɔ́hsə́ 	to blow 	NA
976	Ndanda_Ngwa	fě 	to blow 	NA
977	Ndanda_Twefap	fǐ 	to blow 	NA
978	Ndanda_Denfap	fé tsé 	to blow 	NA
979	Ndanda_Zua	ndì fɔ́hsə́ 	to blow 	NA
980	Goshimjang	nì fɔ́hsə́ 	to blow 	NA
981	Ndanda_Nyep	ʒwǐhɛ̌ 	to breathe	NA
982	Ndanda_Shingou	ʒwǐhɛ́ 	to breathe	NA
983	Ndanda_Ca-a	ʒwǐhɛ́ 	to breathe	NA
984	Ndanda_Meno	dʒwǐhɛ́ 	to breathe	NA
985	Ndanda_Lek	nə̀ ʒwɛ̀hɛ̀ 	to breathe	NA
986	Ndanda_Ngwa	ʒwǐhɛ́ 	to breathe	NA
987	Ndanda_Twefap	ʒûwɔ̂	to breathe	NA
988	Ndanda_Denfap	ʒûwɔ̂	to breathe	NA
989	Ndanda_Zua	ndì ʒwɛ̀hɛ̀ 	to breathe	NA
990	Goshimjang	nì ʒwɛ̀hɛ̀ 	to breathe	NA
991	Ndanda_Nyep	nʒwǐ	to laugh 	NA
992	Ndanda_Shingou	nʒwǐ	to laugh 	NA
993	Ndanda_Ca-a	nʒwǐ	to laugh 	NA
994	Ndanda_Meno	nʒwǐ	to laugh 	NA
995	Ndanda_Lek	nə̀ ʒwí 	to laugh 	NA
996	Ndanda_Ngwa	ɣǔ	to laugh 	NA
997	Ndanda_Twefap	ŋɣǔ	to laugh 	NA
998	Ndanda_Denfap	ɣǔ	to laugh 	NA
999	Ndanda_Zua	ndì ʒwí	to laugh 	NA
1000	Goshimjang	nì ʒwí	to laugh 	NA
1001	Ndanda_Nyep	ndʒɨ̌	to see 	NA
1002	Ndanda_Shingou	ndʒɨ̌	to see 	NA
1003	Ndanda_Ca-a	ndʒɨ̌	to see 	NA
1004	Ndanda_Meno	jɛ̌	to see 	NA
1005	Ndanda_Lek	nə̀ jí 	to see 	NA
1006	Ndanda_Ngwa	jɔ̌	to see 	NA
1007	Ndanda_Twefap	ndʒɔ̌	to see 	NA
1008	Ndanda_Denfap	ndʒɔ̌	to see 	NA
1009	Ndanda_Zua	ndì lɔ́ŋsə́	to see 	NA
1010	Goshimjang	nì lɔ́ŋsə́	to see 	NA
1011	Ndanda_Nyep	ndʒû	to hear 	NA
1012	Ndanda_Shingou	ndʒû	to hear 	NA
1013	Ndanda_Ca-a	ndʒû	to hear 	NA
1014	Ndanda_Meno	jǔʔǔ 	to hear 	NA
1015	Ndanda_Lek	nə̀ júʔ	to hear 	NA
1016	Ndanda_Ngwa	jǔ	to hear 	NA
1017	Ndanda_Twefap	ndʒû	to hear 	NA
1018	Ndanda_Denfap	jǔ	to hear 	NA
1019	Ndanda_Zua	ndì ndʒúʔ	to hear 	NA
1020	Goshimjang	nì júʔ	to hear 	NA
1021	Ndanda_Nyep	ʒɛ̌ 	to nkow 	NA
1022	Ndanda_Shingou	nzɨ̌	to nkow 	NA
1023	Ndanda_Ca-a	nzɨ̌	to nkow 	NA
1024	Ndanda_Meno	zɨ̌	to nkow 	NA
1025	Ndanda_Lek	nə̀ zə́	to nkow 	NA
1026	Ndanda_Ngwa	ʒɛ̌ 	to nkow 	NA
1027	Ndanda_Twefap	ʒɛ̌ 	to nkow 	NA
1028	Ndanda_Denfap	ʒɛ̌ 	to nkow 	NA
1029	Ndanda_Zua	ndì lɛ̀ŋ	to nkow 	NA
1030	Goshimjang	nì lɛ̀ŋ	to nkow 	NA
1031	Ndanda_Nyep	ʃǎksé 	to think 	NA
1032	Ndanda_Shingou	kpwǎk 	to think	NA
1033	Ndanda_Ca-a	kpwǎk sé	to think	NA
1034	Ndanda_Meno	kpwǎk sé	to think	NA
1035	Ndanda_Lek	nə̀ kwàŋsə̀	to think	NA
1036	Ndanda_Ngwa	kɨ̌pzɛ́ 	to think	NA
1037	Ndanda_Twefap	kwǎgǎ	to think	NA
1038	Ndanda_Denfap	kwǎk 	to think	NA
1039	Ndanda_Zua	ndì kwàŋsə̀	to think	NA
1040	Goshimjang	nə̀ kwàŋsə̀	to think	NA
1041	Ndanda_Nyep	ndɛ̌p 	to smell 	NA
1042	Ndanda_Shingou	ndɛ̌p	to smell 	NA
1043	Ndanda_Ca-a	nʒǔ sɛ̌ 	to smell 	NA
1044	Ndanda_Meno	sɛ̂	to smell 	NA
1045	Ndanda_Lek	nə̀ lɛ̀psə̀	to smell 	NA
1046	Ndanda_Ngwa	ndǎp 	to smell 	NA
1047	Ndanda_Twefap	ndǎbǎ	to smell 	NA
1048	Ndanda_Denfap	jǔ ʒwí 	to smell 	NA
1049	Ndanda_Zua	ndì ndə̀p 	to smell 	NA
1050	Goshimjang	nì júʔkə̀bɔ̀ŋ	to smell 	NA
1051	Ndanda_Nyep	mbɔ̌	to fear 	NA
1052	Ndanda_Shingou	mbɔ̌	to fear 	NA
1053	Ndanda_Ca-a	mbɔ̌	to fear 	NA
1054	Ndanda_Meno	mbɔ̌hɔ̌	to fear 	NA
1055	Ndanda_Lek	nə̀ bɔ́h 	to fear 	NA
1056	Ndanda_Ngwa	pú ɔ̌	to fear 	NA
1057	Ndanda_Twefap	bwɔ̌ 	to fear 	NA
1058	Ndanda_Denfap	púwɔ̌	to fear 	NA
1059	Ndanda_Zua	ndì bɔ́h 	to fear 	NA
1060	Goshimjang	nì bɔ́h 	to fear 	NA
1061	Ndanda_Nyep	ndǐ	to sleep 	NA
1062	Ndanda_Shingou	ndǐ	to sleep 	NA
1063	Ndanda_Ca-a	ndǐ	to sleep 	NA
1064	Ndanda_Meno	ndǐ	to sleep 	NA
1065	Ndanda_Lek	nì dzí 	to sleep 	NA
1066	Ndanda_Ngwa	zǐ	to sleep 	NA
1067	Ndanda_Twefap	ndǐ	to sleep 	NA
1068	Ndanda_Denfap	tsî	to sleep 	NA
1069	Ndanda_Zua	ndì ndí	to sleep 	NA
1070	Goshimjang	nì ndí 	to sleep 	NA
1071	Ndanda_Nyep	tʃɨ̌je 	to live 	NA
1072	Ndanda_Shingou	sé	to live 	NA
1073	Ndanda_Ca-a	sɨ́ hǎ	to live 	NA
1074	Ndanda_Meno	ntsɨ̌	to live 	NA
1075	Ndanda_Lek	nə̀ zò 	to live 	NA
1076	Ndanda_Ngwa	tʃɛ̂	to live 	NA
1077	Ndanda_Twefap	ntʃě	to live 	NA
1078	Ndanda_Denfap	tʃɛ̂	to live 	NA
1079	Ndanda_Zua	ndì zùh 	to live 	NA
1080	Goshimjang	nì zùh	to live 	NA
1081	Ndanda_Nyep	ŋkwɔ̌ 	to die 	NA
1082	Ndanda_Shingou	ŋkwɔ̌ 	to die 	NA
1083	Ndanda_Ca-a	ŋkwɔ̌ 	to die 	NA
1084	Ndanda_Meno	ŋkwɔ̌ 	to die 	NA
1085	Ndanda_Lek	nə̀ gɣúhɔ́ 	to die 	NA
1086	Ndanda_Ngwa	kfwɨ̌	to die 	NA
1087	Ndanda_Twefap	kpwɨ̌k 	to die 	NA
1088	Ndanda_Denfap	kwɨ̌	to die 	NA
1089	Ndanda_Zua	ndì kxúhó 	to die 	NA
1090	Goshimjang	nì gɣúhɔ́ 	to die 	NA
1091	Ndanda_Nyep	ʒwɨ̌ 	to kill 	NA
1092	Ndanda_Shingou	ʒwɨ̌ 	to kill 	NA
1093	Ndanda_Ca-a	ʒǔ 	to kill 	NA
1094	Ndanda_Meno	ʒwɨ̌ 	to kill 	NA
1095	Ndanda_Lek	nə̀ ʒwí 	to kill 	NA
1096	Ndanda_Ngwa	ʒwɨ̌ 	to kill 	NA
1097	Ndanda_Twefap	dʒwɨ̌	to kill 	NA
1098	Ndanda_Denfap	ʒwə	to kill 	NA
1099	Ndanda_Zua	ndì ʒwí 	to kill 	NA
1100	Goshimjang	nì ʒwí	to fight 	NA
1101	Ndanda_Nyep	nzɔ̌kwɛ̌ 	to fight 	NA
1102	Ndanda_Shingou	zǎp nǔ 	to fight 	NA
1103	Ndanda_Ca-a	zǎp ɲíá  	to fight 	NA
1104	Ndanda_Meno	nzɔ̌	to fight 	NA
1105	Ndanda_Lek	nə̀ zɔ́ŋkwɛ̀ 	to fight 	NA
1106	Ndanda_Ngwa	nzɛ́ ŋkwè 	to fight 	NA
1107	Ndanda_Twefap	tʃǔ ŋkwè 	to fight 	NA
1108	Ndanda_Denfap	tʃǔ ŋkwè 	to fight 	NA
1109	Ndanda_Zua	ndì dzɔ́ŋkwɛ̀	to fight 	NA
1110	Goshimjang	nì zɔ́ŋkwɛ̀	to fight 	NA
1111	Ndanda_Nyep	ndʒǔk 	to hunt 	NA
1112	Ndanda_Shingou	ndʒǔk 	to hunt 	NA
1113	Ndanda_Ca-a	ndʒǔk 	to hunt 	NA
1114	Ndanda_Meno	ndʒǔk 	to hunt 	NA
1115	Ndanda_Lek	nə̀ táʔnɔ̀ 	to hunt 	NA
1116	Ndanda_Ngwa	ijɔ̌k 	to hunt 	NA
1117	Ndanda_Twefap	ndʒǔk 	to hunt 	NA
1118	Ndanda_Denfap	ndʒɔ̌k	to hunt 	NA
1119	Ndanda_Zua	ndì táʔɲɔ̀	to hunt 	NA
1120	Goshimjang	nì táʔɲɔ̀	to hunt 	NA
1121	Ndanda_Nyep	nzǎp 	to hit 	NA
1122	Ndanda_Shingou	nzǎp 	to hit 	NA
1123	Ndanda_Ca-a	nzǎp 	to hit 	NA
1124	Ndanda_Meno	nzǎp 	to hit 	NA
1125	Ndanda_Lek	nə̀ zabə̀ 	to hit 	NA
1126	Ndanda_Ngwa	zɛ́ 	to hit 	NA
1127	Ndanda_Twefap	mbǔ 	to hit 	NA
1128	Ndanda_Denfap	nzǎp 	to hit 	NA
1129	Ndanda_Zua	ndì zàbə̀ 	to hit 	NA
1130	Goshimjang	nì zàbə̀ 	to hit 	NA
1131	Ndanda_Nyep	ndʒâ	to cut 	NA
1132	Ndanda_Shingou	ntʃɔ̌	to cut 	NA
1133	Ndanda_Ca-a	jáʔǎ	to cut 	NA
1134	Ndanda_Meno	ndʒǎ 	to cut 	NA
1135	Ndanda_Lek	nə̀ jáʔ	to cut 	NA
1136	Ndanda_Ngwa	jáʔá 	to cut 	NA
1137	Ndanda_Twefap	ndʒâ	to cut 	NA
1138	Ndanda_Denfap	jâ	to cut 	NA
1139	Ndanda_Zua	ndì jáʔ	to cut 	NA
1140	Goshimjang	nì jáʔ	to cut 	NA
1141	Ndanda_Nyep	mbǎ	to split 	NA
1142	Ndanda_Shingou	mbǎ	to split 	NA
1143	Ndanda_Ca-a	pǎʔa	to split 	NA
1144	Ndanda_Meno	mbǎ	to split 	NA
1145	Ndanda_Lek	nə̀ tàhsə̀ 	to split 	NA
1146	Ndanda_Ngwa	ì paʔ	to split 	NA
1147	Ndanda_Twefap	mbɛ̌	to split 	NA
1148	Ndanda_Denfap	pɛ̂	to split 	NA
1149	Ndanda_Zua	ndì tàhsə̀ 	to split 	NA
1150	Goshimjang	nì tàhsə̀ 	to split 	NA
1151	Ndanda_Nyep	sɔ̌p 	to stab 	NA
1152	Ndanda_Shingou	sɔ̌p 	to stab	NA
1153	Ndanda_Ca-a	sɔ̌p 	to stab	NA
1154	Ndanda_Meno	sɔ̌p 	to stab	NA
1155	Ndanda_Lek	nə̀ sɛ̀p 	to stab	NA
1156	Ndanda_Ngwa	sǔp 	to stab	NA
1157	Ndanda_Twefap	sǔp 	to stab	NA
1158	Ndanda_Denfap	sǔp 	to stab	NA
1159	Ndanda_Zua	ndì sə̀b 	to stab	NA
1160	Goshimjang	nì sə̀b 	to scratch 	NA
1161	Ndanda_Nyep	kpwɔ̌p 	to scratch 	NA
1162	Ndanda_Shingou	kpwɔ̌p 	to scratch 	NA
1163	Ndanda_Ca-a	kpwɔ̌p 	to scratch 	NA
1164	Ndanda_Meno	kpwɔ̌p 	to scratch 	NA
1165	Ndanda_Lek	nə̀ kɔ́ŋɔ́ 	to scratch 	NA
1166	Ndanda_Ngwa	kǔp	to scratch 	NA
1167	Ndanda_Twefap	kǔp	to scratch 	NA
1168	Ndanda_Denfap	kǔp	to scratch 	NA
1169	Ndanda_Zua	nə̀ ŋkwɔ́bsə́ 	to scratch 	NA
1170	Goshimjang	nì jùh 	to scratch 	NA
1171	Ndanda_Nyep	zɨ̌ʔɨ́ 	to dig 	NA
1172	Ndanda_Shingou	zɨ̌ʔɨ́ 	to dig 	NA
1173	Ndanda_Ca-a	zɨ̌ʔɨ́ 	to dig 	NA
1174	Ndanda_Meno	ntǔk	to dig 	NA
1175	Ndanda_Lek	nə̀ sùʔú 	to dig 	NA
1176	Ndanda_Ngwa	tsǔ	to dig 	NA
1177	Ndanda_Twefap	nzɨ̌	to dig 	NA
1178	Ndanda_Denfap	tɔ̌k	to dig 	NA
1179	Ndanda_Zua	ndì tsúʔ	to dig 	NA
1180	Goshimjang	nì súʔ	to dig 	NA
1181	Ndanda_Nyep	láŋǎ ʃè	to swim 	NA
1182	Ndanda_Shingou	nɔ̌ sé 	to swim 	NA
1183	Ndanda_Ca-a	láŋǎ ʃè	to swim 	NA
1184	Ndanda_Meno	sɛ̌t	to swim 	NA
1185	Ndanda_Lek	nə̀ màʔànɔ̀	to swim 	NA
1186	Ndanda_Ngwa	láŋá 	to swim 	NA
1187	Ndanda_Twefap	láŋá 	to swim 	NA
1188	Ndanda_Denfap	láŋá 	to swim 	NA
1189	Ndanda_Zua	ndì ndàŋàtsə̀ 	to swim 	NA
1190	Goshimjang	nì sɛ̀b 	to swim 	NA
1191	Ndanda_Nyep	fɛ̌	to fly 	NA
1192	Ndanda_Shingou	fɛ̌	to fly 	NA
1193	Ndanda_Ca-a	fɛ̌	to fly 	NA
1194	Ndanda_Meno	nfɛ̌	to fly 	NA
1195	Ndanda_Lek	nə̀ ʒɔ̀ 	to fly 	NA
1196	Ndanda_Ngwa	fé 	to fly 	NA
1197	Ndanda_Twefap	ntě	to fly 	NA
1198	Ndanda_Denfap	tě 	to fly 	NA
1199	Ndanda_Zua	ndì ʒìhɔ̀ 	to fly 	NA
1200	Goshimjang	nì ʒɔ̀ 	to fly 	NA
1201	Ndanda_Nyep	ndʒǐ 	to walk 	NA
1202	Ndanda_Shingou	ndzǐ 	to walk 	NA
1203	Ndanda_Ca-a	nzǐ	to walk 	NA
1204	Ndanda_Meno	zǐ	to walk 	NA
1205	Ndanda_Lek	nə̀ zísə̀ 	to walk 	NA
1206	Ndanda_Ngwa	ʒî	to walk 	NA
1207	Ndanda_Twefap	ndʒí	to walk 	NA
1208	Ndanda_Denfap	ʒî	to walk 	NA
1209	Ndanda_Zua	ndì zə̀ 	to walk 	NA
1210	Goshimjang	nì zə̀ 	to walk 	NA
1211	Ndanda_Nyep	ŋwǎ	to come 	NA
1212	Ndanda_Shingou	ŋkɨ̌p 	to come 	NA
1213	Ndanda_Ca-a	kɨ̌p	to come 	NA
1214	Ndanda_Meno	kɨ̌p	to come 	NA
1215	Ndanda_Lek	nə̀ hɔ̀ʔɔ́ 	to come 	NA
1216	Ndanda_Ngwa	ŋwâ	to come 	NA
1217	Ndanda_Twefap	ŋwɛ̌	to come 	NA
1218	Ndanda_Denfap	ŋwɛ̌	to come 	NA
1219	Ndanda_Zua	ndì sɔ̀ʔɔ̀ 	to come 	NA
1220	Goshimjang	nì sɔ̀ʔɔ̀ 	to come 	NA
1221	Ndanda_Nyep	nɔ̂k 	to lie 	NA
1222	Ndanda_Shingou	nɔ̂k 	to lie 	NA
1223	Ndanda_Ca-a	nɔ̌kʃǐ	to lie 	NA
1224	Ndanda_Meno	nɔ̂k 	to lie 	NA
1225	Ndanda_Lek	nə̀ nɔ́ŋɔ́sé 	to lie 	NA
1226	Ndanda_Ngwa	nɔ̂kʃǐ	to lie 	NA
1227	Ndanda_Twefap	nɔ̂kʃǐ	to lie 	NA
1228	Ndanda_Denfap	nɔ̂kʃǐ	to lie 	NA
1229	Ndanda_Zua	ndì nɔ́ŋɔ́sé 	to lie 	NA
1230	Goshimjang	nì nɔ́ŋɔ́sé	to lie 	NA
1231	Ndanda_Nyep	tʃǐɛ 	to sit 	NA
1232	Ndanda_Shingou	sɨ́sí 	to sit 	NA
1233	Ndanda_Ca-a	sǐ ʃî 	to sit 	NA
1234	Ndanda_Meno	tsé 	to sit 	NA
